File: Air_Freshener_915.png | True: Black (0) | Pred: Blue (1)
File: empty_ground_coffee_bag_3297.png | True: Black (0) | Pred: Blue (1)
File: empty_lighter_2150.png | True: Black (0) | Pred: TTR (3)
File: empty_lip_balm_stick_2096.png | True: Black (0) | Pred: TTR (3)
File: empty_lotion_pump_1278.png | True: Black (0) | Pred: TTR (3)
File: empty_lotion_tube_2827.png | True: Black (0) | Pred: Blue (1)
File: empty_marker_2151.png | True: Black (0) | Pred: TTR (3)
File: empty_medicine_blister_pack_2828.png | True: Black (0) | Pred: Blue (1)
File: empty_pancake_mix_bag_3299.png | True: Black (0) | Pred: Blue (1)
File: empty_pen_434.png | True: Black (0) | Pred: TTR (3)
File: empty_perfume_302.png | True: Black (0) | Pred: TTR (3)
File: empty_perfume_bottle_769.png | True: Black (0) | Pred: Blue (1)
File: empty_permanent_marker_770.png | True: Black (0) | Pred: TTR (3)
File: empty_pill_sheet_2098.png | True: Black (0) | Pred: Green (2)
File: empty_plastic_bag_303.png | True: Black (0) | Pred: Blue (1)
File: empty_plastic_gum_tray_435.png | True: Black (0) | Pred: Blue (1)
File: empty_popcorn_bag_2830.png | True: Black (0) | Pred: Blue (1)
File: empty_roll_on_772.png | True: Black (0) | Pred: Blue (1)
File: empty_styrofoam_meat_tray_2673.png | True: Black (0) | Pred: Blue (1)
File: empty_tissue_box_3258.png | True: Black (0) | Pred: TTR (3)
File: empty_tissue_box_408.png | True: Black (0) | Pred: TTR (3)
File: empty_tissue_packet_2831.png | True: Black (0) | Pred: Blue (1)
File: empty_toothpaste_tube_128.png | True: Black (0) | Pred: TTR (3)
File: empty_toothpaste_tube_1726.png | True: Black (0) | Pred: Blue (1)
File: empty_toothpaste_tube_2675.png | True: Black (0) | Pred: Blue (1)
File: empty_toothpaste_tube_on_carpet_2832.png | True: Black (0) | Pred: Blue (1)
File: empty_toothpaste_tubes_1848.png | True: Black (0) | Pred: Blue (1)
File: empty_used_plastic_pen_1977.png | True: Black (0) | Pred: TTR (3)
File: expired_fridge_filter_plastic_cloth_1281.png | True: Black (0) | Pred: Blue (1)
File: expired_jam_311.png | True: Black (0) | Pred: Blue (1)
File: expired_meat_183.png | True: Black (0) | Pred: Blue (1)
File: expired_meat_694.png | True: Black (0) | Pred: Green (2)
File: expired_perfume_bottle_1908.png | True: Black (0) | Pred: Blue (1)
File: eye_contact_packaging_3444.png | True: Black (0) | Pred: TTR (3)
File: face_lotion_1850.png | True: Black (0) | Pred: Blue (1)
File: floss_2392.png | True: Black (0) | Pred: Green (2)
File: floss_bottle_3406.png | True: Black (0) | Pred: TTR (3)
File: floss_dispenser_2533.png | True: Black (0) | Pred: Blue (1)
File: foam_chicken_package_923.png | True: Black (0) | Pred: Blue (1)
File: foam_egg_box_2677.png | True: Black (0) | Pred: Blue (1)
File: foam_packaging_2100.png | True: Black (0) | Pred: TTR (3)
File: foam_packaging_2534.png | True: Black (0) | Pred: Blue (1)
File: foam_packaging_from_electronics_2101.png | True: Black (0) | Pred: Blue (1)
File: foam_pork_package_924.png | True: Black (0) | Pred: Green (2)
File: foam_sausage_package_1978.png | True: Black (0) | Pred: Blue (1)
File: foam_steak_package_925.png | True: Black (0) | Pred: Blue (1)
File: glue_1913.png | True: Black (0) | Pred: Blue (1)
File: glue_container_1434.png | True: Black (0) | Pred: Blue (1)
File: greasy_aluminum_foil_2102.png | True: Black (0) | Pred: Blue (1)
File: greasy_microwave_popcorn_bag_2903.png | True: Black (0) | Pred: Blue (1)
File: greasy_plastic_paper_bacon_package_1979.png | True: Black (0) | Pred: Blue (1)
File: green_whiteboard_marker_2970.png | True: Black (0) | Pred: TTR (3)
File: gum_wrapper_2103.png | True: Black (0) | Pred: Blue (1)
File: half_empty_chewing_gum_pack_1282.png | True: Black (0) | Pred: TTR (3)
File: hand_cream_tube_1728.png | True: Black (0) | Pred: Blue (1)
File: hoghlighter_2536.png | True: Black (0) | Pred: TTR (3)
File: hygiene_toothbrush_933.png | True: Black (0) | Pred: Green (2)
File: icre_cream_plastic_wrapper_1915.png | True: Black (0) | Pred: Green (2)
File: instant_noodle_package_2397.png | True: Black (0) | Pred: Blue (1)
File: jerky_wrapper_441.png | True: Black (0) | Pred: Blue (1)
File: joints_weed_2538.png | True: Black (0) | Pred: Green (2)
File: key_605.png | True: Black (0) | Pred: TTR (3)
File: keys_1569.png | True: Black (0) | Pred: TTR (3)
File: kitchen_sponge_1729.png | True: Black (0) | Pred: Green (2)
File: lamp_1730.png | True: Black (0) | Pred: Blue (1)
File: led_bulb_2863.png | True: Black (0) | Pred: Green (2)
File: led_light_bulb_on_wood_2864.png | True: Black (0) | Pred: Green (2)
File: light_bulb_2706.png | True: Black (0) | Pred: TTR (3)
File: lighter_313.png | True: Black (0) | Pred: TTR (3)
File: lighter_gas_2574.png | True: Black (0) | Pred: TTR (3)
File: lip_balm_2399.png | True: Black (0) | Pred: TTR (3)
File: meat_carton_1437.png | True: Black (0) | Pred: Green (2)
File: meat_packaging_tray_foam_2256.png | True: Black (0) | Pred: Blue (1)
File: mechanical_pencil_609.png | True: Black (0) | Pred: TTR (3)
File: medicine_wrapper_3123.png | True: Black (0) | Pred: Blue (1)
File: metal_hanger_3448.png | True: Black (0) | Pred: TTR (3)
File: metal_pull_tab_lid_900.png | True: Black (0) | Pred: TTR (3)
File: moisturizer_container_1732.png | True: Black (0) | Pred: Blue (1)
File: neo_citran_package_938.png | True: Black (0) | Pred: Blue (1)
File: net_bag_3306.png | True: Black (0) | Pred: Blue (1)
File: non_recyclable_wrapper_2104.png | True: Black (0) | Pred: Blue (1)
File: nonstretchy_plastic_bag_316.png | True: Black (0) | Pred: Blue (1)
File: nonstretchy_plastic_bag_777.png | True: Black (0) | Pred: Green (2)
File: noodle_packaging_3125.png | True: Black (0) | Pred: TTR (3)
File: old_broken_pen_plastic_1290.png | True: Black (0) | Pred: TTR (3)
File: old_dirty_paint_brush_1921.png | True: Black (0) | Pred: TTR (3)
File: old_empty_vape_plastic_1293.png | True: Black (0) | Pred: TTR (3)
File: old_garlic_sauce_packet_plastic_1295.png | True: Black (0) | Pred: Blue (1)
File: old_lighter_317.png | True: Black (0) | Pred: TTR (3)
File: old_pen_2541.png | True: Black (0) | Pred: TTR (3)
File: old_pen_3126.png | True: Black (0) | Pred: TTR (3)
File: old_razor_1922.png | True: Black (0) | Pred: TTR (3)
File: old_razor_head_2105.png | True: Black (0) | Pred: TTR (3)
File: old_spice_solid_deodrant_1297.png | True: Black (0) | Pred: TTR (3)
File: opened_salt_and_pepper_packets_2192.png | True: Black (0) | Pred: Blue (1)
File: orange_wrapper_742.png | True: Black (0) | Pred: Blue (1)
File: oval_hair_brush_comb_1301.png | True: Black (0) | Pred: TTR (3)
File: packaging_foam_2684.png | True: Black (0) | Pred: Green (2)
File: packaging_plastic_2259.png | True: Black (0) | Pred: Blue (1)
File: patio_brick_2402.png | True: Black (0) | Pred: Green (2)
File: pen_1442.png | True: Black (0) | Pred: TTR (3)
File: pen_1574.png | True: Black (0) | Pred: TTR (3)
File: pen_1923.png | True: Black (0) | Pred: TTR (3)
File: pen_2544.png | True: Black (0) | Pred: TTR (3)
File: pen_617.png | True: Black (0) | Pred: TTR (3)
File: perfume_bottle_1030.png | True: Black (0) | Pred: TTR (3)
File: perfume_bottle_1443.png | True: Black (0) | Pred: Blue (1)
File: pink_highlighter_3450.png | True: Black (0) | Pred: TTR (3)
File: pizza_plastic_table_protector_2110.png | True: Black (0) | Pred: Green (2)
File: plastic_bag_non-stretchy_frozen_fruit_3129.png | True: Black (0) | Pred: Blue (1)
File: plastic_bread_clip_319.png | True: Black (0) | Pred: TTR (3)
File: plastic_coffee_bag_136.png | True: Black (0) | Pred: Blue (1)
File: plastic_container_2264.png | True: Black (0) | Pred: Blue (1)
File: plastic_facewash_dispensing_tube_1304.png | True: Black (0) | Pred: Blue (1)
File: plastic_foil_beverage_packet_3133.png | True: Black (0) | Pred: Blue (1)
File: plastic_gum_wrapper_3315.png | True: Black (0) | Pred: Blue (1)
File: plastic_lid_621.png | True: Black (0) | Pred: Blue (1)
File: plastic_makeup_wipe_bag_1926.png | True: Black (0) | Pred: Blue (1)
File: plastic_packaging_2379.png | True: Black (0) | Pred: Blue (1)
File: plastic_packaging_3134.png | True: Black (0) | Pred: Blue (1)
File: plastic_salmon_wrapper_949.png | True: Black (0) | Pred: Blue (1)
File: plastic_straw_3317.png | True: Black (0) | Pred: TTR (3)
File: plastic_straw_wrap_1928.png | True: Black (0) | Pred: Green (2)
File: plastic_tape_138.png | True: Black (0) | Pred: TTR (3)
File: plastic_tape_1575.png | True: Black (0) | Pred: Blue (1)
File: plastic_vegetable_bag_2973.png | True: Black (0) | Pred: Blue (1)
File: plastic_wrapper_1151.png | True: Black (0) | Pred: Blue (1)
File: plastic_wrapper_1153.png | True: Black (0) | Pred: Blue (1)
File: polyester_string_444.png | True: Black (0) | Pred: TTR (3)
File: popped_plastic_packing_material_1307.png | True: Black (0) | Pred: Blue (1)
File: potato_mesh_bag_3135.png | True: Black (0) | Pred: Blue (1)
File: pringles_can_1981.png | True: Black (0) | Pred: Blue (1)
File: pull_tab_lid_snack_pods_1444.png | True: Black (0) | Pred: TTR (3)
File: q_tip_2547.png | True: Black (0) | Pred: Green (2)
File: ramen_wrapper_279.png | True: Black (0) | Pred: Blue (1)
File: razor_blade_cartridge_3319.png | True: Black (0) | Pred: TTR (3)
File: red_fine_tip_pen_2974.png | True: Black (0) | Pred: TTR (3)
File: red_under_arm_1738.png | True: Black (0) | Pred: Blue (1)
File: sandpaper_block_447.png | True: Black (0) | Pred: Blue (1)
File: sauce_mix_packaging_2688.png | True: Black (0) | Pred: Blue (1)
File: scotch_tape_1930.png | True: Black (0) | Pred: TTR (3)
File: sharpie_marker_326.png | True: Black (0) | Pred: TTR (3)
File: shaving_stick_1051.png | True: Black (0) | Pred: TTR (3)
File: silica_packets_1352.png | True: Black (0) | Pred: Blue (1)
File: snack_waffle_wrapper_1311.png | True: Black (0) | Pred: Blue (1)
File: snack_wrapper_1159.png | True: Black (0) | Pred: Blue (1)
File: snack_wrapper_2836.png | True: Black (0) | Pred: Green (2)
File: soiled_diaper_787.png | True: Black (0) | Pred: Green (2)
File: soiled_sauce_packaging_3459.png | True: Black (0) | Pred: Blue (1)
File: solid_composite_razor_cartridge_1312.png | True: Black (0) | Pred: Blue (1)
File: soy_sauce_sachet_3139.png | True: Black (0) | Pred: Blue (1)
File: sponge_1054.png | True: Black (0) | Pred: Green (2)
File: sponge_2408.png | True: Black (0) | Pred: Green (2)
File: styrofoam_container_2690.png | True: Black (0) | Pred: TTR (3)
File: styrofoam_cup_2837.png | True: Black (0) | Pred: Blue (1)
File: syrup_3386.png | True: Black (0) | Pred: Blue (1)
File: tape_2117.png | True: Black (0) | Pred: TTR (3)
File: tape_dispenser_2552.png | True: Black (0) | Pred: Blue (1)
File: tape_dispenser_330.png | True: Black (0) | Pred: Blue (1)
File: tape_measure_1935.png | True: Black (0) | Pred: TTR (3)
File: tea_packaging_2077.png | True: Black (0) | Pred: Blue (1)
File: teabag_label_587.png | True: Black (0) | Pred: Green (2)
File: tin_foil_1450.png | True: Black (0) | Pred: Green (2)
File: tissue_box_2508.png | True: Black (0) | Pred: Blue (1)
File: tissue_box_2804.png | True: Black (0) | Pred: Blue (1)
File: tissue_box_282.png | True: Black (0) | Pred: TTR (3)
File: tissue_plastic_bag_2838.png | True: Black (0) | Pred: Blue (1)
File: tooth_floss_container_2118.png | True: Black (0) | Pred: TTR (3)
File: toothpaste_1937.png | True: Black (0) | Pred: Blue (1)
File: toothpaste_1938.png | True: Black (0) | Pred: Blue (1)
File: toothpaste_tube_1160.png | True: Black (0) | Pred: Blue (1)
File: toothpaste_tube_2553.png | True: Black (0) | Pred: Blue (1)
File: tootpaste_tube_3464.png | True: Black (0) | Pred: Blue (1)
File: torn_scrub_pad_1742.png | True: Black (0) | Pred: Green (2)
File: twist_tie_2410.png | True: Black (0) | Pred: Green (2)
File: unusable_marker_2119.png | True: Black (0) | Pred: TTR (3)
File: unusable_pen_1452.png | True: Black (0) | Pred: TTR (3)
File: unusable_pen_2120.png | True: Black (0) | Pred: TTR (3)
File: unusable_pen_629.png | True: Black (0) | Pred: TTR (3)
File: unusable_pencil_2121.png | True: Black (0) | Pred: TTR (3)
File: used_band_aid_1453.png | True: Black (0) | Pred: Blue (1)
File: used_candle_1939.png | True: Black (0) | Pred: Blue (1)
File: used_coffee_pod_2426.png | True: Black (0) | Pred: TTR (3)
File: used_deodorant_332.png | True: Black (0) | Pred: TTR (3)
File: used_dish_sponge_2411.png | True: Black (0) | Pred: Green (2)
File: used_disposable_face_mask_2124.png | True: Black (0) | Pred: TTR (3)
File: used_duct_tape_148.png | True: Black (0) | Pred: Green (2)
File: used_fisherman_bag_334.png | True: Black (0) | Pred: Blue (1)
File: used_food_package_3142.png | True: Black (0) | Pred: Blue (1)
File: used_ice_cream_wrapper_3325.png | True: Black (0) | Pred: Green (2)
File: used_lighter_2125.png | True: Black (0) | Pred: TTR (3)
File: used_lip_balm_1941.png | True: Black (0) | Pred: TTR (3)
File: used_mask_2278.png | True: Black (0) | Pred: TTR (3)
File: used_mask_452.png | True: Black (0) | Pred: TTR (3)
File: used_match_1314.png | True: Black (0) | Pred: TTR (3)
File: used_medical_tape_and_cotton_ball_150.png | True: Black (0) | Pred: Green (2)
File: used_nail_emory_board_1982.png | True: Black (0) | Pred: Green (2)
File: used_pen_3327.png | True: Black (0) | Pred: TTR (3)
File: used_plastic_container_3146.png | True: Black (0) | Pred: Blue (1)
File: used_plastic_toothbrush_2126.png | True: Black (0) | Pred: TTR (3)
File: used_razor_455.png | True: Black (0) | Pred: TTR (3)
File: used_shaving_stick_1058.png | True: Black (0) | Pred: TTR (3)
File: used_tin_foil_bag_3328.png | True: Black (0) | Pred: Blue (1)
File: used_up_toothpaste_tube_2122.png | True: Black (0) | Pred: Blue (1)
File: used_vacuum_bag_2127.png | True: Black (0) | Pred: Blue (1)
File: used_vacuum_filter_2128.png | True: Black (0) | Pred: Blue (1)
File: used_water_filter_cartridge_499.png | True: Black (0) | Pred: TTR (3)
File: used_yellow_sponge_on_white_background_2844.png | True: Black (0) | Pred: Green (2)
File: vape_1172.png | True: Black (0) | Pred: TTR (3)
File: vape_apparatus_3465.png | True: Black (0) | Pred: TTR (3)
File: vapes_2321.png | True: Black (0) | Pred: Blue (1)
File: vit_c_2242.png | True: Black (0) | Pred: Blue (1)
File: washing_machine_detergent_2169.png | True: Black (0) | Pred: Blue (1)
File: waste_bubble_gum_792.png | True: Black (0) | Pred: Green (2)
File: waste_tape_2845.png | True: Black (0) | Pred: Blue (1)
File: water_bottle_cover_1456.png | True: Black (0) | Pred: Blue (1)
File: water_jug_filter_2412.png | True: Black (0) | Pred: Blue (1)
File: waxed_paper_sheet_151.png | True: Black (0) | Pred: Green (2)
File: white_LED_light_bulb_1355.png | True: Black (0) | Pred: Blue (1)
File: white_styrofoam_food_container_2846.png | True: Black (0) | Pred: Blue (1)
File: whiteboard_eraser_1582.png | True: Black (0) | Pred: TTR (3)
File: whiteboard_marker_1583.png | True: Black (0) | Pred: TTR (3)
File: wire_scourer_2695.png | True: Black (0) | Pred: TTR (3)
File: wrapping_foil_794.png | True: Black (0) | Pred: Blue (1)
File: yarn_795.png | True: Black (0) | Pred: TTR (3)
File: yellow_brush_on_wooden_floor_2847.png | True: Black (0) | Pred: TTR (3)
File: yellow_highlighter_2982.png | True: Black (0) | Pred: Green (2)
File: yogurt_container_seal_2556.png | True: Black (0) | Pred: Blue (1)
File: zip_tie_1457.png | True: Black (0) | Pred: TTR (3)
File: Bubble_wrap_1014.png | True: Blue (1) | Pred: Black (0)
File: Carboard_2468.png | True: Blue (1) | Pred: TTR (3)
File: Disposable_cup_13.png | True: Blue (1) | Pred: Black (0)
File: Electronic_cardboard_Packaging_551.png | True: Blue (1) | Pred: TTR (3)
File: Empty_Electronics_Box_64.png | True: Blue (1) | Pred: TTR (3)
File: Empty_Pasta_Bag_67.png | True: Blue (1) | Pred: Black (0)
File: Empty_gum_pack_2785.png | True: Blue (1) | Pred: Black (0)
File: Lolipop_Candy_936.png | True: Blue (1) | Pred: Black (0)
File: Old_Painting_572.png | True: Blue (1) | Pred: Green (2)
File: Old_receipts_2682.png | True: Blue (1) | Pred: Black (0)
File: Paper_Fast_Food_Container_82.png | True: Blue (1) | Pred: Black (0)
File: Paper_Towel_Roll_1687.png | True: Blue (1) | Pred: Green (2)
File: Paper_towel_83.png | True: Blue (1) | Pred: Green (2)
File: Take_Out_Food_Container_Lid_142.png | True: Blue (1) | Pred: Black (0)
File: Tobacco_Container_144.png | True: Blue (1) | Pred: TTR (3)
File: Toilet_paper_roll_588.png | True: Blue (1) | Pred: Green (2)
File: Zip_Lock_Bag_954.png | True: Blue (1) | Pred: Black (0)
File: aluminium_foil_1389.png | True: Blue (1) | Pred: Black (0)
File: aluminum_foil_1013.png | True: Blue (1) | Pred: Black (0)
File: aluminum_foil_2467.png | True: Blue (1) | Pred: Black (0)
File: aluminum_foil_3393.png | True: Blue (1) | Pred: Green (2)
File: amazon_cardboard_box_379.png | True: Blue (1) | Pred: Green (2)
File: average_sized_printer_paper_2920.png | True: Blue (1) | Pred: TTR (3)
File: basket_box_1106.png | True: Blue (1) | Pred: TTR (3)
File: beer_can_2037.png | True: Blue (1) | Pred: TTR (3)
File: black_plastic_battery_door_289.png | True: Blue (1) | Pred: TTR (3)
File: bread_bag_plastic_712.png | True: Blue (1) | Pred: Black (0)
File: brochure_542.png | True: Blue (1) | Pred: TTR (3)
File: bubble_wrap_1391.png | True: Blue (1) | Pred: Black (0)
File: bubble_wrap_1392.png | True: Blue (1) | Pred: Black (0)
File: bubble_wrap_1665.png | True: Blue (1) | Pred: Black (0)
File: bubble_wrap_3225.png | True: Blue (1) | Pred: Black (0)
File: burger_wrapper_1139.png | True: Blue (1) | Pred: Black (0)
File: cardboard_1015.png | True: Blue (1) | Pred: Green (2)
File: cardboard_1393.png | True: Blue (1) | Pred: Black (0)
File: cardboard_208.png | True: Blue (1) | Pred: Black (0)
File: cardboard_209.png | True: Blue (1) | Pred: TTR (3)
File: cardboard_41.png | True: Blue (1) | Pred: Black (0)
File: cardboard_box_1218.png | True: Blue (1) | Pred: Green (2)
File: cardboard_box_1827.png | True: Blue (1) | Pred: TTR (3)
File: cardboard_box_coffee_pod_3057.png | True: Blue (1) | Pred: TTR (3)
File: cardboard_box_tin_foil_880.png | True: Blue (1) | Pred: TTR (3)
File: cardboard_egg_carton_1526.png | True: Blue (1) | Pred: Green (2)
File: cardboard_egg_carton_213.png | True: Blue (1) | Pred: Green (2)
File: cardboard_egg_carton_547.png | True: Blue (1) | Pred: TTR (3)
File: cardboard_packaging_1527.png | True: Blue (1) | Pred: TTR (3)
File: cardboard_sheet_216.png | True: Blue (1) | Pred: TTR (3)
File: cardboard_shipping_box_217.png | True: Blue (1) | Pred: TTR (3)
File: cardboard_stick_3059.png | True: Blue (1) | Pred: TTR (3)
File: cardboard_tissue_box_218.png | True: Blue (1) | Pred: Black (0)
File: chips_packet_46.png | True: Blue (1) | Pred: Black (0)
File: claimed_movie_pass_paper_1222.png | True: Blue (1) | Pred: Black (0)
